House number,WFH Type,Operation,Solar,Battery,PV,Cost
35,T3,hybrid_bidirectional,best,2.875,0.771429,3000.0
36,T1,safe_unidirectional,worst,23.5,2.01429,15510.0
36,T1,safe_unidirectional,best,15.6875,1.67143,11040.0
36,T1,hybrid_bidirectional,worst,13.0625,1.8,10050.0
36,T1,hybrid_bidirectional,best,9.5625,1.32857,7380.0
36,T2,safe_unidirectional,worst,16.6875,1.62857,11430.0
36,T2,safe_unidirectional,best,12.8125,1.2,8670.0
36,T2,hybrid_bidirectional,worst,6.4375,1.2,5610.0
36,T2,hybrid_bidirectional,best,4.25,0.942857,4020.0
36,T3,safe_unidirectional,worst,13.625,1.2,9060.0
36,T3,safe_unidirectional,best,10.5,0.985714,7110.0
36,T3,hybrid_bidirectional,worst,4.9375,0.942857,4350.0
36,T3,hybrid_bidirectional,best,3.3125,0.728571,3120.0
37,T1,safe_unidirectional,worst,21.375,1.88571,14220.0
37,T1,safe_unidirectional,best,15.125,1.5,10410.0
37,T1,hybrid_bidirectional,worst,13.0625,1.62857,9690.0
37,T1,hybrid_bidirectional,best,8.9375,1.41429,7260.0
37,T2,safe_unidirectional,worst,15.6875,1.41429,10500.0
37,T2,safe_unidirectional,best,11.8125,1.07143,7920.0
37,T2,hybrid_bidirectional,worst,5.5625,1.2,5190.0
37,T2,hybrid_bidirectional,best,4.25,0.814286,3750.0
37,T3,safe_unidirectional,worst,12.875,1.07143,8430.0
37,T3,safe_unidirectional,best,9.25,0.942857,6420.0
37,T3,hybrid_bidirectional,worst,4.5,0.857143,3960.0
37,T3,hybrid_bidirectional,best,3.125,0.642857,2850.0
38,T1,safe_unidirectional,worst,21.0625,2.14286,14610.0
38,T1,safe_unidirectional,best,15.3125,1.62857,10770.0
38,T1,hybrid_bidirectional,worst,13.6875,2.01429,10800.0
38,T1,hybrid_bidirectional,best,9.5625,1.45714,7650.0
38,T2,safe_unidirectional,worst,16.625,1.54286,11220.0
38,T2,safe_unidirectional,best,12.3125,1.2,8430.0
38,T2,hybrid_bidirectional,worst,5.125,1.32857,5250.0
38,T3,safe_unidirectional,worst,13.1875,1.2,8850.0
38,T3,safe_unidirectional,best,9.625,1.11429,6960.0
38,T3,hybrid_bidirectional,worst,4.875,0.942857,4320.0
38,T3,hybrid_bidirectional,best,3.125,0.728571,3030.0
39,T1,safe_unidirectional,worst,20.8125,2.27143,14760.0
39,T1,safe_unidirectional,best,15.5625,1.84286,11340.0
39,T1,hybrid_bidirectional,worst,11.6875,1.92857,9660.0
39,T1,hybrid_bidirectional,best,8.875,1.45714,7320.0
39,T2,safe_unidirectional,worst,15.9375,1.88571,11610.0
39,T2,safe_unidirectional,best,12.9375,1.41429,9180.0
