Archetype,House number,WFH Type,Operation,Solar,Grid Import,Total Load
Detached,29,T1,hybrid_bidirectional,best,4527.64,9016.51
Detached,29,T2,safe_unidirectional,worst,5143.65,5797.76
Detached,29,T2,safe_unidirectional,best,5056.24,5797.76
Detached,29,T2,hybrid_bidirectional,worst,3907.89,7789.1
Detached,29,T2,hybrid_bidirectional,best,3847.48,7816.72
Detached,30,T1,safe_unidirectional,worst,5819.68,6488.24
Detached,30,T1,safe_unidirectional,best,5762.39,6488.24
Detached,30,T1,hybrid_bidirectional,worst,4719.34,9397.92
Detached,30,T1,hybrid_bidirectional,best,4684.63,9431.96
Detached,30,T2,safe_unidirectional,worst,5300.47,5966.79
Detached,30,T2,safe_unidirectional,best,5255.09,5966.79
Detached,30,T2,hybrid_bidirectional,worst,4248.02,8350.33
Detached,30,T2,hybrid_bidirectional,best,4125.58,8290.39
Detached,31,T1,safe_unidirectional,worst,4984.26,5621.71
Detached,31,T1,safe_unidirectional,best,4890.73,5621.71
Detached,31,T1,hybrid_bidirectional,worst,4301.38,8227.5
Detached,31,T1,hybrid_bidirectional,best,4182.48,8191.73
Detached,31,T2,safe_unidirectional,worst,4466.12,5100.26
Detached,31,T2,safe_unidirectional,best,4385.16,5100.26
Detached,31,T2,hybrid_bidirectional,worst,3655.37,7365.65
Detached,31,T2,hybrid_bidirectional,best,3515.26,7315.82
Detached,32,T1,safe_unidirectional,worst,5316.25,6022.68
Detached,32,T1,safe_unidirectional,best,5210.69,6022.68
Detached,32,T1,hybrid_bidirectional,worst,4769.4,9038.92
Detached,32,T1,hybrid_bidirectional,best,4570.17,8949.87
Detached,32,T2,safe_unidirectional,worst,4795.48,5501.22
Detached,32,T2,safe_unidirectional,best,4700.41,5501.22
Detached,32,T2,hybrid_bidirectional,worst,3933.01,7988.61
Detached,32,T2,hybrid_bidirectional,best,3771.92,7922.01
Detached,33,T1,safe_unidirectional,worst,5272.95,5812.64
Detached,33,T1,safe_unidirectional,best,5217.73,5812.64
Detached,33,T1,hybrid_bidirectional,worst,4313.32,8349.36
Detached,33,T1,hybrid_bidirectional,best,4246.92,8345.66
Detached,33,T2,safe_unidirectional,worst,4754.37,5291.19
Detached,33,T2,safe_unidirectional,best,4710.48,5291.19
Detached,33,T2,hybrid_bidirectional,worst,3934.69,7570.64
Detached,33,T2,hybrid_bidirectional,best,3758.4,7477.4
Detached,34,T1,safe_unidirectional,worst,5627.69,6246.42
Detached,34,T1,safe_unidirectional,best,5521.32,6246.42
Detached,34,T1,hybrid_bidirectional,worst,4772.93,8852.94
Detached,34,T1,hybrid_bidirectional,best,4659.01,8843.32
Detached,34,T2,safe_unidirectional,worst,5113.24,5724.96
Detached,34,T2,safe_unidirectional,best,5013.77,5724.96
Detached,34,T2,hybrid_bidirectional,worst,4418.71,8175.35
Detached,34,T2,hybrid_bidirectional,best,4280.28,8126.02
Detached,35,T1,safe_unidirectional,worst,5725.48,6537.98
Detached,35,T1,safe_unidirectional,best,5648.34,6537.98
Detached,35,T1,hybrid_bidirectional,worst,4934.08,9547.81
Detached,35,T1,hybrid_bidirectional,best,4860.09,9570.75
Detached,35,T2,safe_unidirectional,worst,5200.05,6016.53
Detached,35,T2,safe_unidirectional,best,5133.5,6016.53
Detached,35,T2,hybrid_bidirectional,worst,4391.41,8533.76
Detached,35,T2,hybrid_bidirectional,best,4278.06,8494.79
Detached,36,T1,safe_unidirectional,worst,5781.17,6406.63
Detached,36,T1,safe_unidirectional,best,5694.2,6406.63
Detached,36,T1,hybrid_bidirectional,worst,4962.05,9301.51
Detached,36,T1,hybrid_bidirectional,best,4918.48,9349.86
Detached,36,T2,safe_unidirectional,worst,5259.71,5885.18
Detached,36,T2,safe_unidirectional,best,5184.54,5885.18
